date,open,high,low,close,volume,average,barCount
2022-12-30 12:57:48-05:00,121.34,121.35,121.31,121.31,2895.0,121.33,13
2022-12-30 12:57:49-05:00,121.32,121.34,121.32,121.34,3350.0,121.334,6
2022-12-30 12:57:50-05:00,121.32,121.32,121.3,121.3,9266.0,121.305,30
2022-12-30 12:57:51-05:00,121.3,121.32,121.29,121.31,11129.0,121.307,26
2022-12-30 12:57:52-05:00,121.32,121.34,121.31,121.31,2271.0,121.321,11
2022-12-30 12:57:53-05:00,121.34,121.34,121.3,121.31,2780.0,121.315,13
2022-12-30 12:57:54-05:00,121.3,121.31,121.3,121.3,2803.0,121.3,15
2022-12-30 12:57:55-05:00,121.3,121.32,121.3,121.3,2200.0,121.302,9
2022-12-30 12:57:56-05:00,121.31,121.31,121.29,121.3,5601.0,121.299,7
2022-12-30 12:57:57-05:00,121.29,121.3,121.29,121.29,3615.0,121.292,8
2022-12-30 12:57:58-05:00,121.29,121.29,121.27,121.28,1034.0,121.286,5
2022-12-30 12:57:59-05:00,121.28,121.31,121.28,121.3,4775.0,121.283,7
2022-12-30 12:58:00-05:00,121.3,121.31,121.3,121.3,825.0,121.303,3
2022-12-30 12:58:01-05:00,121.31,121.32,121.3,121.32,2737.0,121.308,8
2022-12-30 12:58:02-05:00,121.31,121.31,121.28,121.29,1300.0,121.293,11
2022-12-30 12:58:03-05:00,121.28,121.3,121.28,121.3,2540.0,121.284,6
2022-12-30 12:58:04-05:00,121.29,121.31,121.28,121.29,4339.0,121.292,24
2022-12-30 12:58:05-05:00,121.3,121.32,121.3,121.31,4150.0,121.305,6
2022-12-30 12:58:06-05:00,121.32,121.36,121.32,121.34,2472.0,121.335,13
2022-12-30 12:58:07-05:00,121.34,121.36,121.34,121.36,2500.0,121.351,4
2022-12-30 12:58:08-05:00,121.35,121.36,121.35,121.36,1900.0,121.352,7
2022-12-30 12:58:09-05:00,121.35,121.37,121.31,121.31,11783.0,121.322,15
2022-12-30 12:58:10-05:00,121.31,121.31,121.3,121.3,1000.0,121.304,8
2022-12-30 12:58:11-05:00,121.3,121.31,121.29,121.3,4090.0,121.3,4
2022-12-30 12:58:12-05:00,121.3,121.31,121.3,121.31,500.0,121.305,5
2022-12-30 12:58:13-05:00,121.31,121.33,121.31,121.32,600.0,121.317,2
2022-12-30 12:58:14-05:00,121.32,121.34,121.32,121.34,2250.0,121.336,6
2022-12-30 12:58:15-05:00,121.33,121.33,121.32,121.32,700.0,121.323,6
2022-12-30 12:58:16-05:00,121.34,121.36,121.34,121.36,348.0,121.35,3
2022-12-30 12:58:17-05:00,121.33,121.34,121.33,121.33,940.0,121.33,3
2022-12-30 12:58:18-05:00,121.33,121.34,121.32,121.32,2887.0,121.333,3
2022-12-30 12:58:19-05:00,121.34,121.35,121.33,121.33,1555.0,121.339,6
2022-12-30 12:58:20-05:00,121.33,121.33,121.33,121.33,0.0,121.33,0
2022-12-30 12:58:21-05:00,121.35,121.38,121.34,121.34,5439.0,121.356,11
2022-12-30 12:58:22-05:00,121.35,121.35,121.33,121.34,4370.0,121.335,10
2022-12-30 12:58:23-05:00,121.34,121.34,121.32,121.32,800.0,121.324,4
